"","V1","V2"
"Àrea_de_Preservação_Ambiental_da_Região_Serrana_do_Maciço_de_Baturité",-38.9509257433333,-4.26462963333333
"Área_de_Proteção_Ambiental_da_Barra_do_Rio_Mamanguape",-34.92277778,-6.81625
"Área_de_Proteção_Ambiental_das_Lagoas_e_Dunas_de_Abaeté",-38.35,-12.9333333
"Belo_Horizonte",-43.9143055,-19.925243
"Bertioga",-46.133333,-23.85
"Boracéia_Biological_Station",-45.866667,-23.633333
"Búzios_Island",-45.133333,-23.8
"Campos_do_Jordão",-45.592222,-22.738611
"Cananéia",-47.933333,-25.016667
"Cantareira",-46.6,-23.366667
"Desengano",-41.8,-21.88333
"Ecological_Station_of_Bauru",-49.083599,-22.234233
"Ecological_Station_of_Caetetus",-49.699275,-22.405568
"Estação_Ecológica_de_Guaxindiba",-41.06666667,-21.4
"Estação_Ecológica_de_Murici",-35.877778,-9.218333
"Guaratinga",-39.753611,-16.566111
"Ibiraba",-42.83333333,-10.8
"Ilhabela",-45.324328,-23.838904
"Itamaraju",-39.5279166666667,-16.9465743333333
"Joinville",-48.933337702,-26.241407818
"Mata_da_Cabecinha",-42.0917778,-22.0946666
"Mata_da_Prosperidade",-42.033333,-21.4
"Mata_de_Bujary",-34.9814532857143,-7.60782657142857
"Mata_do_Baú",-43.928889,-21.206667
"Mata_do_Carvão",-41.066667,-21.4
"Mata_do_Coimbra",-35.84180575,-8.99993075
"Mata_do_Funil",-41.2,-21.55
"Morro_do_Capim",-47.966667,-22.366667
"Morro_do_Itaoca",-41.433333,-21.8
"Neblinas",-46.15,-23.75
"Parque_Estadual_da_Ilha_Anchieta",-45.0686665,-23.5405975
"Parque_Estadual_da_Serra_do_Mar",-44.84025,-23.3623195
"Parque_Estadual_do_Rio_Doce",-42.5573148333333,-19.6745831666667
"Parque_Estadual_do_Rio_Doce_(PERD)",-42.55666667,-19.6475
"Parque_Estadual_Mata_dos_Godoy",-51.25067715,-23.44904585
"Parque_Nacional_do_Descobrimento",-39.307685,-17.1196296666667
"Parque_Nacional_do_Monte_Pascoal",-39.4131483333333,-16.8819446666667
"Parque_Nacional_do_Pau_Brasil",-39.254583,-16.500972
"Permanent_Preservation_Area_of_Duratex",-48.85,-22.483333
"Permanent_Preservation_Area_Vargem_Limpa",-49.008333,-22.35
"Pindamonhangaba",-45.456111,-22.930556
"Pratigi_Environmental_Protection_Area",-39.3227085,-13.83909725
"Private_Property",-51.2513543,-23.4480917
"Região_do_Imbaú",-42.45,-22.616666675
"Reserva_Biológica_da_Mata_Escura",-41.0260183333333,-16.3635183333333
"Reserva_Biológica_de_Sooretama",-40.148611,-19.046389
"Reserva_Biológica_de_Una",-39.064537,-15.1752776666667
"Reserva_Biológica_Guaribas",-35.131666666,-6.71833333
"Reserva_Biológica_União",-42.03333306,-22.4499967
"Reserva_Ecológica_Michelin",-39.237639,-13.8395835
"Reserva_Florestal_da_Fazenda_Coqueiro",-54.917165,-22.211611
"Reserva_Natural_do_Rio_Cachoeira",-48.65,-25.316667
"Reserva_Natural_Vale",-40.0309876666667,-19.1539815555556
"Reserva_Particular_do_Patrimônio_Natural_da_Serra_Bonita",-39.566944,-15.394444
"Reserva_Particular_do_Patrimônio_Natural_da_Serra_do_Caraça",-43.5035186666667,-20.0714816666667
"Reserva_Particular_do_Patrimônio_Natural_Duas_Barras",-40.0543055,-16.411597
"Reserva_Particular_do_Patrimônio_Natural_Feliciano_Miguel_Abdala",-41.8195835,-19.7245835
"Reserva_Toca_da_Paca",-48.086667,-21.458333
"RPPN_Estação_Veracel",-39.119444,-16.3522225
"RPPN_Frei_Caneca",-35.8424073333333,-8.72416666666667
"Santa_Cecília_Farm",-47.24,-20.77
"Santa_Genebra",-47.11328,-22.821137
"Santa_Genebra_Forest",-47.102778,-22.827778
"São_Francisco_de_Itabapoana",-41.101111,-21.3456945
"São_Francisco_do_Sul",-48.70118878,-26.2161668
"São_José_de_Ubá",-41.92263875,-21.38361125
"São_Sebastião",-45.42156,-23.612561
"Trajano_de_Moraes",-42.0701853333333,-22.0748146666667
"Ubatuba",-45.068889,-23.436944
"Universidade_Estadual_de_Santa_Cruz",-39.172778,-14.795278
"Universidade_Federal_do_Ceará",-38.54305528,-3.7172222
"Vitória_Island",-45.017337,-23.749535
